ASIN,Date,User ID,MP,product_type,item_classification,brand,occasion,item_type_name,department,color,size,item_name,TRP 1,Comments,seller_data
B082QCKLK5,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Caboodles,,,,Turquoise Marble,13.38x8.88x6.5 Inch (Pack of 1),"Caboodles On-The-Go Girl Retro Case, Turquoise Marble",,,
B08KYGNCSP,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Stackers,,,,"standardized_values:Purple, value:Lavender",,Stackers Lavender Small Hanging Washbag,,,
B0B11X8VCC,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Twofold,,,,Black Pro,X Large,"Makeup Brush Bucket Bag, Makeup Brush Storage Bag, Travel Cosmetic Bag, Large Capacity, Easy to Carry (Black Pro, X Large)",,,
B07536177Q,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,LALANG,,,,"standardized_values:multicolour, value:Multi",1 Count (Pack of 1),Lalang Women's Make Up Bag Small Cosmetic Pouch Cute Bear Print Wash Bag Toiletry Beauty Organiser,,,
B07QD5X6M4,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,SWISSONA,,,,"standardized_values:Grey, value:Grey",Grey,"SWISSONA Travel Toiletry Bag, Hanging Toiletry Bag for Women, Men and Children, Spacious Toiletry Bag for Travel + Leisure, incl. Cosmetic Mirror and 1 Litre Transparent Bag, 7 litres Storage Space",,,
B098RNRBW9,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,TSOTMO,,,,U.show Fluorescent,M,Warning I May Randomoly Break Out in Show Tunes Cosmetic Bag Theatre Novelty Makeup Bag Broadway Musical Theater Gift (U.Show Fluorescent),,,
B098XK127D,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,CERD�� LIFE'S LITTLE MOMENTS,Travel,Paw Patrol Children's Toiletry Bag Set - Official Nickelodeon Licence,boys,"standardized_values:Blue, value:Blue",Especialmente recomendado para ni��os de 2 a 8 a��os,"CERD�� LIFE'S LITTLE MOMENTS - Paw Patrol Wash Bag Children | Boys Toiletry Bag Set - Official Nickelodeon Licence, Blue",,,
B09FWF5K11,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Wrendale Designs by Hannah Dale,,,,"standardized_values:Orange, value:Orange",Small Brush Bag/Pencil Case - Bee,Wrendale Designs - 'Flight of The Bumblebee' Brush Bag/ Pencil Case,,,
B092JNB6N2,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,bbeautylounge,,,,"standardized_values:Black, value:Black & Grey",M,BBeautylounge Nail Storage Bag Gel Polish 50 Bottle Storage Tray Zip Carry Case (Black & Grey),,,
B07WC6VLNK,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Adar Uniforms,,Medical Scrubs,Women's,"standardized_values:Blue, value:Teal Blue",XL,Adar Pro Everyday Expert Scrub Set for Women - Curved V-Neck Scrub Top & Tapered Drawstring Scrub Pants - 4402 - Teal Blue - XL,,,
B09S3Z5D37,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Generic,"Business, Travel",,,"standardized_values:Grey, value:Grey",,"Hanging Travel Toiletry Bag for Women and Men/ Cosmetics with Multi Pockets/ Waterproof Hook/ Folding Wash Bag/ Organiser/ Cosmetic Storage Case, Grey",,,
B093KDS76R,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Holdfiturn,,,,"standardized_values:Black, value:Black",18*15*15cm,Holdfiturn Makeup Box 4 Trays Aluminium Large Capacity Vanity Cosmetic Organizer Nail Box for Jewelry Cosmetics Accessories Jewellery Nail Polish Lockable with Keys (Black),,,
B07YPVCS8L,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,beyondsome,,,,"standardized_values:Off-White, value:Black Glitter Print",With Make Up Bag,"Personalised Girls Ladies Canvas Beach Bag Honeymoon Gift Hen Present, Black Glitter Print, with Make Up Bag",,,
B09NVWXQRS,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,keilend,,,,"standardized_values:Black, value:Black",,"Keilend Double Layer Makeup Bag���Make Up Tool Boxes with Large Capacity, Portable Vanity Travel Storage Cases for Cosmetic, Outdoors, Travel, Women & Gril Gift( Lozenge Lattice)",,,
B09QYK2PK3,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Twofold,,,,"standardized_values:Black, value:Black",S,Twofold Travel Makeup Train Case Makeup Cosmetic Case Organizer Portable Artist Storage Bag with Adjustable Dividers for Cosmetics Makeup Brushes Toiletry Jewelry Digital Accessories Black,,,
B01N7T40BK,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Ztopia,,Cosmetic Bag,Women's,"standardized_values:Black, value:Black",,Ztopia Makeup Case SM805 Black Nylon Makeup Case 2 in 1 Professional Makeup Artist Rolling Trolley with Multiple Compartments and Lift Handle for Travel Luggage Cosmetic Cases (SM805),,,
B079T73FJ7,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Adar Uniforms,,Medical Scrubs,Women's,"standardized_values:White, value:White",L,Adar Pro Breakthrough Plus Scrub Set for Women - Enhanced V-Neck Top & Multi Pocket Pants - 4400 - White - L,,,
B07MK589D3,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Adar Uniforms,,,womens,"standardized_values:Blue, value:Navy",L,Adar Universal Women���s Scrub Set ��� Fashion Scrub Top and Multi-Pocket Scrub Pants - 903 - Navy - L,,,
B07WVMFTD9,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Orla Kiely,Travel,,,"standardized_values:Multicolour, value:Multicolour",22 cm,Orla Kiely Dove Train case,,,
B07HJT2FFX,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,ZEJIA,,,,"standardized_values:Transparent, value:Clear",3 g (75 Count),ZEJIA 3 Gram Cosmetic Containers 75pcs Sample Gram Plastic Containers Lotion Jars Makeup Sample Containers with Lids BPA Free (Clear),,,
B09T6THNDR,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,SVUPUE,Travel,,,"standardized_values:Blue, value:Blue",,"Makeup Bag,4 in 1 Toiletry Bag,Detachable Mesh Toiletry Bag,Easy to Carry, for Travel Daily Use, Blue",,,
B07W6MLSGN,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,YUYTE,,,,1,,"Pink and Empty Vintage Makeup Loose Powder Dispenser Box, Cosmetic Case With Puff Pastry Powder(01)",,,
B08CC79M27,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Wenlai,"Business, Travel",,,Black Blue,L,"2 Pieces Barrel Shaped Make-up Bags, Drawstring Cosmetic Bag Portable Toiletry Bag Travel Toiletry Storage Organizer, Make-up Bags for Home Daily Travel, Flamingo Pattern(Black, Grey)",,,
B08BDWT8V6,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,YULOONG,,,Women's,"standardized_values:Multicolour, value:Green Leaf",3XL,YULOONG Womens Cover Ups Chiffon Floral Print Kimono Loose Shawl Cardigan Boho Summer Casual Blouse Top Sexy Beach Swimwear Capes,,,
B07RJTW6SF,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Thule,"Casual, Travel",,unisex_adult,"standardized_values:Black, value:Black",24 centimeters,THULE Crossover 2 Casual Daypack 24 Centimeters Black,,,
B09K5PGCCQ,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,UESDU,"Business, Travel",1,,"standardized_values:Silver, value:Silver",23x17x16cm,"Toiletry Bag, Double Layer Makeup Bag Waterproof Travel Make Up Bag with Zippers, Large Cosmetic Bags Organizer Makeup Bag for Women for Home, Swimming and Business Trip���Silver���",,,
B09SGMWWZD,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Camomilla,,Travel Accessory- Cosmetics Case,Womens,"standardized_values:Blue, value:Kyoto Medium - Light Blue",M,"Camomilla 3 Pcs Cosmetic Bags, Cosmetic Case, Make-up Bag, Kyoto Collection, Medium Size, Light Blue",,,
B08X1T2Y2N,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,CELIMS,,,,Rose Gold (5806),17 Pouces,"ABS Vanity Case to Accompany Your Suitcase, Rose Gold (5806), 17 Pouces,",,,
B07W94MLND,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Adar Uniforms,,Medical Scrubs,Women's,"standardized_values:Blue, value:Caribbean Blue",L,Adar Pro Everyday Expert Scrub Set for Women - Curved V-Neck Scrub Top & Tapered Drawstring Scrub Pants - 4402 - Caribbean Blue - L,,,
